block_number,time,number_of_twetches
520894,1564089580,0
520905,1558400736,0
520890,1564356614,0
520894,1567771060,7
520894,1566641605,2
520894,1565255299,9
520904,1538640947,0
520909,1520749934,0
520896,1554310988,0
520892,1567503499,3
520892,1561411096,5
520916,1536773128,0
520895,1562114235,3
520893,1568203240,19
520890,1546750370,0
520890,1557153153,0
520895,1564089696,1
520890,1542531687,0
520892,1571193758,1
520892,1555866278,0
520906,1558403060,0
520896,1566917607,3
520905,1538640965,0
520894,1569330628,5
520893,1561411236,2
520891,1536106355,0
520917,1536773406,0
520895,1567771578,13
520910,1520752913,0
520897,1554311737,0
520893,1567503622,0
520893,1559506124,0
520895,1565255858,8
520890,1569901780,0
520890,1564334158,25
520896,1562114915,6
520895,1566642379,9
520896,1564090116,3
520907,1558403085,0
520891,1569596147,24
520906,1538641038,0
520894,1561411577,5
520918,1536774281,0
520898,1554312375,0
520911,1520754526,0
520897,1566918141,8
520891,1564357693,1
520894,1567503757,0
520896,1567771864,4
520893,1555867053,0
520896,1565255947,0
520894,1568204547,13
520890,1542521041,0
520891,1542531987,0
520894,1559506996,0
520895,1569332500,11
520891,1557153640,0
520897,1562114906,0
520908,1558403239,0
520891,1564334196,0
520896,1566642466,2
520897,1564090356,1
520892,1536106446,0
520907,1538641532,0
520919,1536774645,0
520895,1561411838,0
520912,1520754717,0
520898,1566918386,1
520899,1554314497,0
520892,1564357813,0
520892,1569596842,5
520895,1567503907,0
520894,1555868275,0
520895,1568204586,0
520890,1542673696,0
520897,1565257399,10
520891,1569902726,3
520893,1571195438,8
520895,1559507241,0
520890,1553237316,0
520890,1555643193,0
520909,1558403255,0
520892,1564334301,0
520896,1569332918,3
520897,1567773351,8
520891,1542521145,0
520908,1538641666,0
520920,1536774726,0
520913,1520754806,0
520898,1564091061,7
520892,1557154053,0
520900,1554315397,0
520897,1569333233,2
520898,1562116190,13
520896,1561412423,6
520897,1566642929,6
520895,1555868674,0
520891,1546751020,0
520893,1569597446,3
520896,1567504863,3
520896,1568205739,28
520890,1568970638,3
520898,1565258479,8
520890,1564317741,5
520892,1569902890,2
520892,1542532949,0
520893,1564358086,0
520894,1571197658,15
520896,1559508257,0
520890,1542494029,0
520891,1553237378,0
520890,1553799397,0
520890,1554184057,0
520893,1536107055,0
520910,1558403478,0
520909,1538641959,0
520914,1520755522,0
520899,1566918533,1
520901,1554315639,0
520921,1536775326,0
520892,1542521265,0
520898,1567773649,3
520899,1564091642,13
520898,1569334906,5
520897,1561414226,0
520898,1566643133,3
520896,1555869153,0
520893,1557154591,0
520899,1562117776,23
520897,1567505059,0
520894,1569597622,1
520891,1555643497,0
520897,1568205956,4
520892,1546751636,0
520899,1565259019,4
520890,1554603817,0
520894,1564358174,0
520897,1559508395,0
520892,1553238217,0
520893,1542533565,0
520890,1567577838,15
520893,1569903820,6
520891,1553800434,0
520895,1571198018,8
520890,1542645125,0
520891,1542674488,0
520891,1542494507,0
520910,1538642170,0
520902,1554315688,0
520900,1566918592,0
520922,1536776170,0
520915,1520756145,0
520911,1558404139,0
520899,1566643285,1
520898,1561415061,28
520898,1567505147,0
520900,1564092201,14
520899,1567774300,6
520893,1542521385,0
520894,1557154939,0
520893,1546751667,0
520897,1555869273,0
520900,1565259199,2
520900,1562118131,8
520892,1555644874,0
520898,1568206337,3
520894,1536107258,0
520891,1554184299,0
520895,1569598986,34
520899,1569336100,6
520893,1553238877,0
520891,1554603823,0
520895,1564358646,4
520898,1559510055,0
520894,1542533810,0
520891,1567579518,11
520896,1571198087,0
520890,1542330721,0
520916,1520756193,0
520911,1538642300,0
520900,1566643305,0
520923,1536776410,0
520912,1558404678,0
520899,1567505277,0
520901,1566919170,2
520903,1554317018,0
520894,1546752101,0
520893,1555645053,0
520901,1562118365,6
520899,1568206497,1
520899,1561417217,20
520898,1555870114,0
520901,1564093296,6
520895,1536107360,0
520894,1553239880,0
520895,1557157233,0
520900,1567775565,13
520901,1565260939,12
520900,1569336518,3
520892,1567579606,0
520896,1569599800,8
520897,1571198320,0
520899,1559510558,0
520895,1542533925,0
520894,1569906622,24
520912,1538642821,0
520913,1558404741,0
520917,1520757250,0
520894,1555645717,0
520895,1546753301,0
520902,1566919341,3
520900,1561417276,0
520924,1536778273,0
520904,1554317864,0
520902,1562118971,0
520902,1564093409,0
520895,1553240473,0
520892,1542495383,0
520899,1555871202,0
520902,1565261119,1
520893,1567579765,2
520900,1567505957,1
520901,1567776052,9
520901,1569337058,1
520900,1568207544,10
520896,1564359106,11
520896,1536107502,0
520898,1571198682,2
520896,1542533988,0
520900,1559511590,2
520913,1538643195,0
520918,1520757347,0
520896,1546754443,0
520901,1566645499,24
520905,1554317932,0
520925,1536778570,0
520914,1558405835,0
520896,1553240774,0
520892,1554184659,0
520903,1564093676,0
520903,1566919586,4
520895,1555646377,0
520891,1542330826,0
520903,1562119108,10
520901,1561417943,3
520895,1569907238,3
520894,1567579790,1
520903,1565261659,8
520900,1555872453,0
520890,1542314425,0
520897,1569603085,40
520901,1567506944,5
520914,1538643246,0
520897,1546754664,0
520901,1559511681,0
520902,1567776711,12
520902,1569337706,3
520919,1520758155,0
520897,1553241557,0
520926,1536778806,0
520915,1558406532,0
520906,1554318217,0
520899,1571199458,3
520897,1542534121,0
520896,1557158073,0
520897,1536107662,0
520897,1557158732,0
520901,1568208746,27
520904,1564093950,3
520904,1562119297,0
520895,1567579930,1
520904,1565261839,3
520902,1561418595,2
520904,1566920299,11
520901,1555872574,0
520902,1566646867,15
520896,1569908069,1
520893,1564334736,1
520890,1542655640,0
520896,1555646914,0
520898,1546754741,0
520915,1538643386,0
520898,1569603086,0
520898,1553241639,0
520920,1520758416,0
520927,1536779466,0
520897,1564360126,20
520902,1567507246,1
520907,1554319780,0
520916,1558407602,0
520903,1567777254,3
520902,1559512461,0
520892,1554604300,0
520898,1557159332,0
520902,1568208773,0
520898,1542534229,0
520905,1562119648,1
520890,1569869498,10
520903,1569339229,7
520902,1555872693,0
520900,1571200658,8
520905,1566920719,6
520905,1565262139,2
520905,1564095356,11
520893,1554187540,0
520903,1561419681,12
520903,1566647086,2
520896,1567581140,11
520897,1569908855,5
520892,1542331068,0
520891,1568971118,0
520894,1542524072,0
520890,1568834908,5
520893,1542495828,0
520892,1542675195,0
520902,1536108958,0
520920,1538643830,0
520903,1546755502,0
520925,1520759360,0
520932,1536780486,0
520921,1538643966,0
520933,1536780486,0
520903,1553243077,0
520901,1555647032,0
520903,1569606801,29
520912,1554321278,0
520908,1567777492,2
520907,1559512756,0
520921,1558409058,0
520902,1564361326,5
520907,1567507918,5
520897,1554604498,0
520903,1557159872,0
520910,1562119745,0
520904,1557159939,0
520907,1568209986,20
520903,1542534705,0
520895,1542656247,0
520895,1569869556,0
520907,1555872727,0
520908,1569339566,0
520910,1564095486,1
520910,1566921085,1
520910,1565262559,5
520898,1554187901,0
520905,1571201346,3
520908,1566647248,2
520902,1569908923,1
520901,1567581677,6
520908,1561423706,16
520895,1542315383,0
520896,1568972176,0
520896,1553800597,0
520894,1554059978,0
520897,1542331443,0
520904,1546755532,0
520905,1546755532,0
520895,1542646891,0
520926,1520759596,0
520904,1553243395,0
520934,1536781797,0
520922,1538644750,0
520913,1554321517,0
520905,1557161012,0
520908,1559514201,2
520908,1567508128,0
520911,1562119996,1
520922,1558410918,0
520898,1554605423,0
520903,1564361687,6
520908,1568211600,15
520898,1542495946,0
520904,1555647333,0
520901,1554188696,0
520908,1571201383,0
520913,1566921567,0
520910,1555872873,0
520905,1569909098,0
520911,1567778179,6
520913,1565263124,2
520906,1542534945,0
520913,1564096538,9
520911,1566647425,4
520911,1561424450,2
520906,1569606985,15
520904,1567581976,4
520899,1568972870,0
520911,1569342640,20
520905,1536109780,0
520901,1542524687,0
520899,1553801216,0
520897,1568835578,10
520898,1542657721,0
520897,1564320000,8
520899,1542676372,0
520897,1554060026,0
520908,1546756990,0
520937,1536781865,0
520908,1557161347,0
520925,1538644971,0
520929,1520760055,0
520916,1554322779,0
520914,1562120090,0
520911,1567508288,1
520917,1554322879,0
520925,1558411398,0
520907,1553244936,0
520902,1554189759,0
520896,1564347631,0
520906,1564362349,2
520906,1569909334,1
520914,1566922555,8
520911,1555874319,0
520912,1561424483,0
520901,1542496009,0
520911,1568211804,10
520914,1564097301,7
520907,1569607081,1
520912,1567778871,7
520905,1567582037,0
520909,1571202674,7
520912,1568211990,4
520912,1566648729,11
520912,1569343360,2
520900,1568973295,0
520905,1555647758,0
520906,1536109858,0
520900,1542332629,0
520898,1568835760,4
520902,1542524865,0
520907,1542535979,0
520899,1542658197,0
520899,1568837124,16
520911,1546757380,0
520911,1557161496,0
520932,1520760073,0
520913,1559514681,0
520900,1554060834,0
520928,1538645816,0
520910,1553245015,0
520940,1536782586,0
520905,1554189937,0
520914,1567508619,3
520928,1558414068,0
520920,1554323899,0
520900,1542315506,0
520917,1562121583,26
520898,1562532437,20
520903,1554605553,0
520902,1542677415,0
520915,1561424615,0
520909,1569909509,0
520909,1564362965,4
520910,1569607126,1
520914,1555875402,0
520917,1566922966,1
520917,1564097607,2
520899,1564347881,0
520908,1567582098,0
520916,1565263939,4
520915,1568212230,2
520912,1571202741,0
520915,1566648799,12
520915,1567778873,1
520915,1569344491,3
520908,1555648472,0
520898,1553903078,0
520912,1546758010,0
520933,1520760611,0
520913,1546758985,0
520901,1554060863,0
520902,1568837256,4
520929,1538646435,0
520898,1562730425,0
520906,1554191185,0
520941,1536782904,0
520921,1554324577,0
520912,1557161852,0
520909,1536110224,0
520911,1553245356,0
520914,1559517905,2
520915,1567509809,7
520912,1553246197,0
520902,1553802158,0
520918,1562122277,4
520900,1542651001,0
520910,1542536809,0
520905,1542525299,0
520903,1542333770,0
520903,1568973810,0
520929,1558415254,0
520899,1569879911,3
520905,1542497270,0
520912,1569607180,0
520917,1561425155,0
520918,1555876339,0
520920,1565263999,0
520921,1566923548,1
520913,1569910169,6
520916,1571202878,1
520912,1567582538,1
520919,1566649227,8
520919,1568212825,16
520913,1564364594,10
520912,1555649254,0
520921,1564099035,4
520919,1569345142,4
520919,1567780249,10
520907,1554605913,0
520905,1554060954,0
520942,1520760670,0
520922,1546759603,0
520907,1553903514,0
520938,1538646906,0
520921,1557162852,0
520950,1536784573,0
520907,1562730575,0
520915,1554191213,0
520930,1554325177,0
520918,1536110217,0
520910,1542658438,0
520921,1553246378,0
520923,1559518786,0
520911,1568838170,16
520924,1567510708,5
520927,1562122450,2
520911,1553802219,0
520915,1542316563,0
520912,1564316247,11
520918,1568973842,0
520944,1558415658,0
520917,1542678000,0
520925,1542537587,0
520918,1542334496,0
520926,1569607296,3
520928,1571202907,0
520931,1561426024,0
520932,1565264299,2
520930,1555876652,0
520931,1568212950,3
520925,1569910598,2
520924,1555649434,0
520924,1567583242,8
520925,1564364657,0
520933,1566925339,12
520929,1546759821,0
520930,1546759902,0
520914,1553903635,0
520945,1538647086,0
520931,1569345654,1
520912,1545144050,0
520922,1554191336,0
520957,1536785332,0
520914,1562730635,0
520928,1553246497,0
520930,1559518821,0
520937,1554327594,0
520919,1554605977,0
520949,1520762690,0
520928,1557164372,0
520931,1567510789,0
520934,1562122637,1
520918,1568838504,4
520931,1566650792,22
520925,1536110412,0
520912,1567053199,6
520931,1567783249,30
520933,1564100973,15
520913,1569880118,4
520917,1542659425,0
520920,1542526067,0
520919,1542497930,0
520912,1554771754,0
520916,1542317158,0
520946,1558416387,0
520916,1542655291,0
520913,1546525606,0
520928,1569607308,0
520934,1565264419,0
520933,1561426165,0
520926,1555649659,0
520933,1568213247,10
520916,1553903935,0
520927,1564364976,3
520947,1538647292,0
520927,1569910840,3
520916,1562730675,0
520930,1553248417,0
520959,1536785776,0
520924,1554192415,0
520932,1546760266,0
520921,1554605992,0
520932,1555878700,0
520939,1554328297,0
520932,1559519661,0
520940,1554328384,0
520930,1557164432,0
520914,1545150372,0
520920,1568838518,0
520933,1567510916,3
520927,1542537917,0
520920,1542334609,0
520933,1566650839,0
520926,1567584706,16
520935,1566926425,7
520936,1562124497,17
520930,1571204800,7
520914,1567053597,2
520933,1569347140,13
520927,1536110867,0
520933,1567784129,13
520915,1569880298,4
520920,1568977131,0
520935,1564101982,5
520914,1554772474,0
520918,1542317266,0
520919,1542660773,0
520919,1542678374,0
520913,1542403167,0
520947,1558417698,0
520938,1561426238,0
520933,1569607355,1
520932,1564364993,1
520952,1538647338,0
520921,1553904476,0
520938,1568213350,4
520935,1553249590,0
520922,1553905605,0
520927,1562730820,0
520970,1536786534,0
520937,1555650332,0
520935,1554193717,0
520961,1520762809,0
520951,1554328730,0
520943,1559520509,0
520941,1557165215,0
520943,1555879112,0
520945,1565265901,13
520944,1567511131,2
520952,1554329495,0
520939,1564365636,4
520937,1567584766,2
520931,1568839000,4
520932,1542526966,0
520944,1566651586,8
520941,1571204894,0
520925,1567053919,1
520944,1567784336,2
520938,1542537961,0
520946,1566928540,15
520932,1554606340,0
520931,1542335446,0
520926,1569880466,3
520931,1568977793,0
520952,1564102236,0
520950,1569350497,18
520931,1554773737,0
520929,1564335598,2
520944,1536111304,0
520949,1546760759,0
520977,1536786553,0
520950,1546760861,0
520964,1558418179,0
520951,1561426790,0
520944,1555650937,0
520942,1554194498,0
520968,1520764087,0
520929,1568371232,3
520951,1568213475,9
520946,1569607475,1
520931,1545151156,0
520944,1569911549,7
520948,1553249919,0
520949,1553249927,0
520934,1562731165,0
520959,1554329965,0
520948,1557166594,0
520950,1559523556,0
520946,1564365800,3
520950,1555879533,0
520938,1568839404,3
520944,1567585245,10
520952,1565267483,8
520951,1567511326,2
520951,1567784555,4
520948,1571205818,6
520932,1567054940,3
520951,1566652243,11
520953,1564102281,0
520953,1566929386,3
520932,1554773857,0
520930,1542405210,0
520951,1569351018,8
520930,1546526387,0
520937,1542498413,0
520945,1542538126,0
520933,1569880866,5
520939,1554606577,0
520939,1542527385,0
520953,1562126237,25
520938,1568978327,0
520929,1557119553,0
520936,1542680116,0
520966,1538648410,0
520952,1546761100,0
520953,1561426835,0
520979,1536787020,0
520944,1554194857,0
520953,1546762224,0
520931,1568371236,1
520933,1545151791,0
520946,1555651074,1
520970,1520765202,0
520951,1553251482,0
520950,1557166755,0
520948,1564365821,0
520961,1554330458,0
520946,1569911678,1
520953,1568214450,32
520952,1559525789,0
520940,1568839599,2
520952,1555879833,0
520946,1536111557,0
520948,1569608200,13
520953,1567784587,0
520946,1567585698,4
520954,1565268319,14
520955,1566929414,0
520950,1571206108,1
520955,1564103047,3
520934,1567055719,3
520953,1566652579,4
520932,1546526920,0
520934,1554774337,0
520953,1569351218,2
520966,1558418961,0
520932,1542406053,0
520953,1567511547,3
520955,1562126308,2
520933,1546527160,0
520934,1546527784,0
520939,1542336909,0
520977,1538648471,0
520964,1546762540,0
520944,1545152892,0
520965,1546763023,0
520964,1561426890,0
520981,1520765346,0
520957,1555651236,0
520966,1546764268,0
520955,1554195638,0
520972,1554330763,0
520961,1557166952,0
520956,1554195840,0
520951,1568839628,0
520990,1536790867,0
520965,1561427000,0
520941,1557119793,0
520942,1568371933,2
520957,1569912208,5
520961,1571206173,0
520959,1564365974,2
520964,1567784760,0
520963,1555880197,0
520959,1569608486,2
520964,1569351254,0
520965,1565270061,11
520966,1566930807,8
520943,1542406128,0
520945,1546528344,0
520945,1554774397,0
520977,1558419018,0
520966,1564103182,2
520945,1567055926,2
520957,1542538790,0
520966,1562126966,6
520945,1569882095,9
520964,1568215417,34
520964,1566653129,10
520958,1555651248,0
520967,1546765001,0
520968,1546765033,0
520945,1545156674,0
520962,1553251925,0
520957,1554196134,0
520963,1559526438,0
520952,1568839660,0
520962,1557167319,0
520991,1536791110,0
520973,1554331778,0
520966,1561427076,0
520978,1538649306,0
520982,1520766723,0
520957,1536112281,0
520951,1554608036,0
520957,1567587379,7
520965,1567784825,0
520958,1569912338,0
520943,1568372818,3
520964,1555880261,0
520951,1542527988,0
520962,1571206612,2
520946,1546529444,0
520946,1554774457,0
520946,1567056079,0
520966,1565271427,0
520960,1569608963,4
520978,1558419138,0
520967,1566931150,2
520944,1542406247,0
520967,1564103940,4
520965,1569353787,32
520960,1564368288,13
520942,1557119931,0
520967,1562128217,16
520940,1542702067,0
520965,1555651352,0
520966,1555651417,0
520952,1545157568,0
520967,1555651533,0
520964,1554196837,0
520965,1554196886,0
520998,1536791170,0
520969,1557167552,0
520989,1520766746,0
520973,1561427146,0
520980,1554332437,0
520985,1538649786,0
520970,1559526556,0
520956,1542337366,0
520971,1566653365,3
520959,1568840077,3
520969,1553251958,0
520971,1568216370,27
520972,1567784862,0
520950,1568372940,2
520953,1546530880,0
520965,1569912938,3
520971,1555881093,0
520964,1567588237,11
520973,1567785377,8
520964,1536112599,0
520967,1569609144,4
520974,1566931790,2
520953,1567057407,6
520969,1571207438,0
520958,1554609157,0
520974,1564104149,1
520973,1565272099,24
520951,1542406306,0
520974,1562128457,3
520975,1546765961,0
520966,1554197019,0
520976,1546765966,0
520974,1561427190,0
520972,1569354879,14
520981,1554332604,0
520968,1555652132,0
520986,1538649968,0
520970,1557168152,0
520990,1520767698,0
520971,1559527223,0
520999,1536792430,0
520953,1542662042,0
520960,1568840227,2
520972,1568216426,0
520970,1553252378,0
520946,1539990388,0
520954,1546535227,0
520955,1546535274,0
520951,1568373081,1
520972,1555881153,0
520953,1554774874,0
520974,1567785410,1
520972,1566653899,7
520955,1542498707,0
520968,1569609146,0
520975,1566932042,1
520970,1571207447,0
520954,1567057775,1
520959,1554609336,0
520953,1545158510,0
520977,1546766301,0
520967,1554198337,0
520965,1536112961,0
520969,1569609520,4
520987,1538650030,0
520975,1562128825,4
520982,1554333577,0
520971,1557168392,0
520972,1559527233,0
520991,1520767864,0
520974,1565272522,5
520973,1569354979,1
520969,1555653152,0
521000,1536793651,0
520965,1567589780,15
520952,1542406429,0
520947,1542702430,0
520958,1542529185,0
520966,1569915878,22
520957,1542337889,0
520970,1567511962,4
520967,1564369634,7
520956,1546536081,0
520973,1555881209,0
520947,1539990405,0
520975,1567785529,1
520954,1554774997,0
520952,1568373169,2
520973,1568216839,6
520971,1553253158,0
520961,1568841040,15
520978,1546767145,0
520979,1546767265,0
520968,1554198697,0
520980,1546767761,0
520954,1545159732,0
520964,1542540646,0
520971,1571207558,0
520975,1561427285,0
520976,1561427310,0
520988,1538650181,0
520989,1538650218,0
520973,1559527326,0
520976,1562129214,2
520992,1520767880,0
520983,1554333817,0
521001,1536793974,0
520972,1557168454,0
520970,1569610140,10
520974,1569355227,3
520955,1567058386,3
520976,1566932899,5
520975,1565273060,6
520970,1555656033,0
520960,1554610057,0
520985,1558420052,0
520973,1566655159,28
520948,1542702447,0
520976,1536113138,0
520985,1564105041,7
520977,1569916178,2
520976,1567591638,18
520963,1542406659,0
520967,1546537902,0
520956,1542631098,0
520982,1553253225,0
520978,1564369754,0
520965,1545160182,0
520979,1554199366,0
520991,1546768232,0
520984,1568217035,2
520984,1555881336,0
520958,1539991168,0
520956,1555590579,0
520986,1567786083,6
520965,1554776017,0
520972,1568841905,14
520963,1568373702,7
521000,1538650426,0
520994,1554334058,0
520995,1554334080,0
521012,1536794166,0
520984,1559527469,0
520983,1557169131,0
521003,1520768087,0
520987,1561427865,0
520966,1567058547,1
520986,1565273074,0
520987,1566933037,0
520981,1555656394,0
520959,1557120153,0
520968,1542338628,0
520982,1571208707,2
520981,1569611547,41
520987,1562130622,17
520985,1569357038,16
520984,1566655289,4
520978,1569916343,2
520971,1554611017,0
520968,1546538403,0
520986,1564105590,10
520977,1567592054,1
520996,1558420220,0
520983,1553253399,0
520992,1546768486,0
520966,1545160912,0
520964,1542680939,0
520959,1539991468,0
520985,1555881452,0
520979,1564370446,4
520985,1568218050,46
520980,1554200020,0
520977,1536114519,0
520981,1567514026,9
520996,1554334177,0
521004,1520768279,0
520966,1554776799,0
520982,1555656435,0
520988,1566933087,1
520973,1568842022,0
520985,1559527968,0
521001,1538651286,0
520988,1561427962,11
520987,1565273359,3
520984,1557171159,0
520964,1568373892,0
521013,1536795984,0
520987,1567786300,3
520967,1567059747,10
520983,1571208831,2
520986,1569357215,0
520988,1562131871,9
520985,1566655468,4
520969,1546538560,0
520987,1564105881,4
520982,1569613582,38
520984,1553253774,0
520993,1546769063,0
520967,1545161870,0
520979,1569917738,13
520978,1567592597,13
520972,1554611557,0
520959,1542704742,0
520997,1558420438,0
520969,1542339406,0
520960,1539992325,0
520986,1555881477,0
520986,1568218170,7
520981,1554200084,0
520980,1564370833,2
520975,1542541307,0
520962,1562732065,38
520997,1554335377,0
520982,1567514080,0
520986,1559527988,0
520998,1554335636,0
521005,1520768851,0
520989,1561428160,0
521002,1538652428,0
521023,1536796936,0
520992,1555657354,0
520974,1568374039,0
520997,1565273780,11
520994,1557172052,0
520979,1546540001,0
520995,1557172099,0
520995,1566655606,2
520983,1568842348,2
520993,1571208998,0
520997,1567786810,6
520977,1567060260,1
520998,1566933602,3
520976,1554777697,0
521003,1546769604,0
520977,1545163430,0
520997,1564106256,3
520989,1569917817,2
520992,1569614558,6
520994,1553255017,0
520996,1569358588,9
520982,1554611892,0
520998,1562132390,1
520973,1542408293,0
521007,1558420474,0
520988,1567593997,9
520970,1539992770,0
520996,1568218198,1
520991,1554201098,0
520996,1555881692,0
520990,1564371613,3
520987,1536115239,0
520969,1542705390,0
520973,1542662404,0
520969,1557120692,0
520979,1542340008,0
521008,1554335737,0
520972,1562732128,0
521024,1536796985,0
521012,1538652906,0
521015,1520769133,0
520999,1561428336,0
520996,1559528382,0
520998,1565273899,1
520980,1546540202,0
520981,1546540255,0
520982,1546540302,0
520993,1555658012,0
520996,1557173667,0
520994,1571209060,1
520984,1568842504,1
521004,1546769818,0
520978,1545163490,0
521005,1546770281,0
521006,1546770404,0
520978,1567060639,2
520992,1567514626,3
520975,1568374795,1
520993,1569614578,0
520995,1553255660,0
520990,1569917936,0
520997,1569358603,0
520998,1567787869,5
520978,1542529442,0
520996,1566656775,22
520999,1566934732,5
520998,1564107923,19
520999,1562133046,6
520997,1568218233,2
520992,1554202357,0
520997,1555882201,0
521008,1558421298,0
520971,1539995848,0
520989,1567594518,7
520991,1564372426,1
520983,1554612498,0
520974,1542408547,0
520970,1542705736,0
520985,1542542278,0
520988,1536116035,0
520966,1542633185,0
520970,1557121980,0
520973,1562732188,1
521016,1520769139,0
521009,1554336219,0
521013,1538653326,0
521000,1561428370,0
521025,1536797644,0
521010,1554336577,0
520994,1555658385,0
520977,1554777760,0
521007,1546770760,0
520997,1559529086,0
520979,1545164631,0
520985,1568842582,0
520979,1567060701,3
520999,1567787887,0
520997,1557175412,0
520994,1569614663,1
520996,1553255978,0
520999,1565274499,5
520991,1569918384,6
520998,1569359245,8
520995,1571210020,2
520976,1568375713,3
521000,1567789120,17
521000,1562133077,0
520993,1554203017,0
521000,1566935026,1
520999,1564108069,3
521009,1558421458,0
520972,1539996452,0
520980,1542341278,0
520993,1567515745,8
520992,1564372721,0
520998,1555882850,0
520984,1554614257,0
520990,1567595140,10
520975,1542408586,0
520998,1568220024,27
520986,1542542388,0
521014,1538653360,0
520983,1546541080,0
520995,1555658432,0
521017,1520769291,0
521008,1546770922,0
521009,1546771480,0
521026,1536797766,0
521001,1561428455,0
520980,1545164809,0
520980,1567060715,0
520986,1568842646,0
521011,1554337777,0
520974,1562732655,0
520998,1559529453,0
520998,1557176672,0
520995,1569614686,0
520997,1553257159,0
520999,1557176854,0
520997,1566656806,0
521000,1565275159,10
520999,1569360023,5
520994,1554203695,0
520973,1539996636,0
520992,1569918640,3
520996,1571210072,0
520965,1553493579,0
521001,1566935252,3
521001,1567789578,8
521001,1562133785,13
520977,1568376486,0
520981,1542342646,0
520999,1555882892,0
520993,1564373026,0
520991,1567595231,1
521000,1564108822,9
520976,1542408651,0
520985,1554614557,0
521010,1546771489,0
520996,1555658974,0
521002,1561428574,0
521015,1538653612,0
520984,1546541706,0
520981,1545165396,0
520999,1559529509,0
521027,1536798366,0
520978,1554778629,0
521012,1554338692,0
520998,1553258054,0
521000,1557177692,0
521018,1520770114,0
520974,1539997048,0
520995,1554203905,0
520998,1566656965,2
521000,1569360251,1
520981,1567062117,24
520993,1569919162,10
520987,1542542548,0
521001,1565275702,5
520996,1569615206,4
520975,1562734757,28
520997,1571210678,0
520987,1568845524,37
520966,1553493637,0
520982,1542343906,0
520994,1564373064,0
521002,1562133976,3
520978,1568376631,0
521002,1566935550,1
520992,1567595410,3
521011,1546771540,0
520997,1555658978,0
520985,1546542822,0
521000,1559529546,0
521016,1538653806,0
520982,1545165977,0
520986,1554615457,0
521028,1536798790,0
520999,1553258629,0
521001,1557177813,0
520996,1554204654,0
521029,1536798849,0
521000,1555883372,0
521001,1564109061,0
521002,1567790488,9
520999,1566657028,2
521013,1554338709,0
521019,1520770481,0
521003,1561428893,0
520975,1539999508,0
520994,1569919286,1
521001,1569360805,7
521002,1565275880,1
520997,1569615545,6
520982,1567062486,1
520998,1571210908,2
520988,1542543117,0
521010,1558422199,0
520999,1568222201,45
520983,1542344337,0
521012,1546771600,0
520986,1546543601,0
520983,1545166392,0
520998,1555659339,0
520977,1542408826,0
521002,1557177992,0
520997,1554205194,0
521003,1562134108,2
521001,1559529764,0
